date,price,volume,market_cap
2025-05-22,2558.9502343769486,32697477527.54695,308934701949.7151
2025-05-23,2657.1674447566115,29592612076.505535,320733890913.39886
2025-05-24,2519.813809045145,30047329191.503662,304038733414.03973
2025-05-25,2529.4429842284353,10744994421.192684,305369227833.4215
2025-05-26,2546.6201163370915,13814697849.726278,307423642894.0653
2025-05-27,2562.1729286392238,13350148034.293623,309319360637.78375
2025-05-28,2662.0940568241435,26434151855.253853,321357595434.52185
2025-05-29,2676.2674124507,18008588586.284103,323119009777.13904
2025-05-30,2633.1392065286695,27021441335.5195,317891224562.8813
2025-05-31,2524.4762348050726,22927149330.30469,304659964725.2192
2025-06-01,2532.3627853090866,13006751258.18768,305718505778.76434
2025-06-02,2538.3300584367485,11338340571.11249,306561765778.2403
2025-06-03,2609.737253959435,15623967732.418657,314999579353.95825
2025-06-04,2595.4689570062997,15955008730.338179,313315832347.0171
2025-06-05,2610.343189828259,16809606446.176416,315159803382.89014
2025-06-06,2421.601103763502,25849573159.64817,292341916400.9464
2025-06-07,2481.4039836690267,18395107930.47655,299560106673.7574
2025-06-08,2526.291995889778,9535426814.691927,304953508465.0457
2025-06-09,2508.784123584585,10206893115.537256,302870081038.261
2025-06-10,2685.0001850413178,19485734665.28548,324315565109.11993
2025-06-11,2808.503208314919,38281210143.95115,339012253954.4242
2025-06-12,2776.1371915822333,27369030837.548595,334990282503.402
2025-06-13,2653.158968452672,26068993569.969894,320595535562.5316
2025-06-14,2577.04861752583,38576471746.00814,311111352117.7261
2025-06-15,2534.0702195359518,12077031034.291521,306048481935.1591
2025-06-16,2547.8456040920437,11678912429.510712,307537228689.2678
2025-06-17,2561.329843569428,24222149649.172424,309982828015.90594
2025-06-18,2514.986700576147,25926506708.040215,303697873489.69434
2025-06-19,2521.3334233964915,17800721253.243202,304290652058.44
2025-06-20,2522.1791903642184,10392473841.155851,304481216643.1207
2025-06-21,2405.695434213183,20482816663.29469,290401843920.2328
2025-06-22,2270.581996055585,16155611764.84833,273839538572.25955
2025-06-23,2227.4287266371684,28181442532.315876,268777741291.43988
2025-06-24,2423.899644268608,25494295400.420887,292612668627.3885
2025-06-25,2446.539301545049,19669025068.963604,295402538889.65454
2025-06-26,2417.2267855277296,15513055665.262428,291827501114.87933
2025-06-27,2415.031864876594,16271811388.723804,291547094716.2168
2025-06-28,2423.0302896731746,13100825617.816572,292419308271.8665
2025-06-29,2437.133001780241,5787313890.541637,294208600645.2538
2025-06-30,2502.6672721177083,10236257918.833096,302158279316.21674
2025-07-01,2488.190781689803,16306915984.938057,300388851494.49866
2025-07-02,2405.1045592800183,12933967031.524443,290294455719.4809
2025-07-03,2574.067718495133,21862573614.17975,310930535640.4307
2025-07-04,2590.132231590221,19823369642.62606,312621047413.045
